COURSE CODE,COURSE NAME,TYPE
LS4101,Plant Biology,Theory
LS4102,Physiology,Theory
LS4103,Developmental Biology,Theory
LS4104,Physiology and Developmental Biology Laboratory,Laboratory
LS4105,Neurobiology,Theory
LS4106,Cognition,Theory
LS4107,Epigenetics,Theory
LS4109,"Protein Structure, Function and Engineering",Theory
LS4110,IPhD Second Year Project I,Project
LS4111,BS Project,Project
LS4112,Advanced Behavioural Biology,Theory
LS4113,Chemical Biology,Theory
LS4114,Chemical Biology Laboratory I,Laboratory
LS4115,One Health,Theory
MA4101,Field and Galois Theory,Theory
MA4102,Functional Analysis,Theory
MA4104,Algebraic Topology,Theory
MA4106,Statistics II,Theory
MA4107,Statistical Inference,Theory
MA4110,Geometry of Curves and Surfaces,Theory
MA4111,Numerical Analysis,Laboratory
MA4112,Multivariate Statistics,Theory
PH4101,Condensed Matter Physics,Theory
PH4102,Introductory Astrophysics,Theory
PH4103,Condensed Matter Laboratory,Laboratory
PH4104,Nonlinear Dynamics,Theory
PH4106,Field Theory and Relativistic Quantum Mechanics,Theory
PH4107,"Advanced Electricity, Magnetism, and Optics",Theory
PH4108,Biological Physics,Theory
PH4110,Soft Condensed Matter Physics,Theory
PH4112,Research Project I,Project
PH4113,General Theory of Relativity,Theory
SS4102,MS Research Project,Project
CH5101,BSMS Project,Project
CH5102,"Glycochemistry, glycobiology and Medicinal Chemistry",Theory
CH5103,Supramolecular Chemistry and Applications,Theory
CH5104,Computational Chemistry,Theory
CS5105,Fundamentals of Generative AI and Large Language Models: Theory and Practice,Theory
ES5101,BSMS Project,Project
ES5102,First Year IPhD Seminar,Seminar
ES5103,Second Year IPhD Project,Project
LS5101,Scientific Communication,Theory
LS5102,MS Project,Project
LS5103,Research Methodology,Theory
LS5105,MS Research Project I,Project
LS5106,Project I,Project
LS5107,MS Research Project III,Project
MA5101,MS Project,Project
MA5102,Partial Differential Equations,Theory
MA5115,Independent Study II,Project
MA5122,Commutative Algebra,Theory
MA5125,Complex Dynamics II,Theory
MA5126,Topics in Analysis,Theory
PH5101,MS Project,Project
PH5102,Independent Study,Project
PH5103,Condensed Matter Physics II,Theory
PH5111,IPhD Project I,Project
PH5112,Experimental Physics,Laboratory
PH5113,Theoretical Physics I,Theory
PH5114,Nonequilibrium Quantum Dynamics,Theory
SS5101,MS Research Project,Project
